class_groups,model,dataset,best_test,best_train,best_validation,duration,best_parameters
"['diestrus', 'estrus', 'metestrus', 'proestrus']",LinearSVC,AUGMENT,0.14977973568281938,0.25,0.1602670849771613,0:01:32.428013,"{'C': 3606.3486397284664, 'class_weight': None}"
"['diestrus', 'estrus', 'metestrus', 'proestrus']",LinearSVC,BASE,0.14977973568281938,0.16026711185308848,0.1602670849771613,0:00:35.131090,"{'C': 3606.3486397284664, 'class_weight': None}"
"['diestrus', 'estrus', 'metestrus', 'proestrus']",MLP,AUGMENT,0.7672540381791483,0.9035539215686275,0.7373334767982547,0:18:28.286343,"{'learning_rate_init': 0.0011931810638500242, 'alpha': 1.0, 'max_iter': 400, 'n_layer_0': 11, 'n_layer_1': 34, 'n_layer_2': 45, 'n_layer_3': 150, 'n_layer_4': 0}"
"['diestrus', 'estrus', 'metestrus', 'proestrus']",MLP,BASE,0.7716593245227606,0.8027267668336115,0.7494425464222335,0:06:41.905452,"{'learning_rate_init': 0.001, 'alpha': 1.0, 'max_iter': 400, 'n_layer_0': 150, 'n_layer_1': 0, 'n_layer_2': 150, 'n_layer_3': 150, 'n_layer_4': 0}"
"['diestrus', 'estrus', 'metestrus', 'proestrus']",PolySVC,AUGMENT,0.749632892804699,0.9165747549019608,0.7177918673776938,0:18:38.222051,"{'C': 21.573883515769815, 'class_weight': 'balanced', 'kernel': 'poly', 'gamma': 0.2237947889232047}"
"['diestrus', 'estrus', 'metestrus', 'proestrus']",PolySVC,BASE,0.7525697503671072,0.8165692821368948,0.7211997653249416,0:09:57.499756,"{'C': 1000000.0, 'class_weight': 'balanced', 'kernel': 'poly', 'gamma': 10.0}"
"['diestrus', 'estrus', 'metestrus', 'proestrus']",RBFSVC,AUGMENT,0.7544052863436124,0.9172487745098039,0.7369189180876996,0:21:14.591840,"{'C': 100.0, 'class_weight': None, 'kernel': 'rbf', 'gamma': 0.01}"
"['diestrus', 'estrus', 'metestrus', 'proestrus']",RBFSVC,BASE,0.7617474302496329,0.8339593767390094,0.7346249833758854,0:04:22.754575,"{'C': 10000.0, 'class_weight': 'balanced', 'kernel': 'rbf', 'gamma': 0.01}"
"['diestrus', 'proestrus_estrus_metestrus']",LinearSVC,AUGMENT,0.5903083700440529,0.25,0.5676126987966378,0:00:27.014357,"{'C': 3606.3486397284664, 'class_weight': None}"
"['diestrus', 'proestrus_estrus_metestrus']",LinearSVC,BASE,0.5903083700440529,0.5676126878130217,0.5676126987966378,0:00:10.949718,"{'C': 3606.3486397284664, 'class_weight': None}"
