steps,train_loss,train_acc,val_acc
254,1.1270902233020628,0.5899705014749262,0.430939226519337
508,0.9399261171018363,0.6420845624385447,0.6519337016574586
762,0.8150461131492547,0.6941986234021633,0.7016574585635359
1017,0.7513429851306926,0.7187807276302852,0.7569060773480663
1271,0.7304842471490333,0.7266470009832842,0.6077348066298343
1525,0.7690867035555394,0.6991150442477877,0.6022099447513812
1779,0.6590118473844425,0.7099311701081613,0.712707182320442
2034,0.6494951769196764,0.7413962635201574,0.7458563535911602
2288,0.6089168488100215,0.7748279252704032,0.7348066298342542
2542,0.6151758925870222,0.7581120943952803,0.723756906077348
2796,0.591661321143954,0.7797443461160276,0.7569060773480663
