steps,train_loss,train_acc,val_acc
254,0.510510619883453,0.7554027504911591,0.8777777777777778
509,0.40641276228053164,0.8241650294695481,0.9277777777777778
763,0.3619985224163134,0.8664047151277013,0.8833333333333334
1018,0.3097799474808931,0.8644400785854617,0.9333333333333333
1272,0.2618345512271162,0.8958742632612966,0.9
1527,0.25426407152519714,0.8978388998035363,0.9055555555555556
1781,0.22008931935419035,0.912573673870334,0.9
2036,0.18952388724784253,0.9253438113948919,0.9055555555555556
2290,0.19788691907945458,0.9214145383104125,0.9
2545,0.1864830586027303,0.9322200392927308,0.9
2799,0.19107335445805945,0.9263261296660117,0.9111111111111111
