steps,train_loss,train_acc,val_acc
509,0.5157202231333626,0.7534381139489194,0.8666666666666667
1018,0.41503079449263913,0.8300589390962672,0.6722222222222223
1527,0.40574346599855216,0.8280943025540275,0.9222222222222223
2036,0.34918269456486806,0.8546168958742631,0.8722222222222222
2545,0.3874947336193152,0.8339882121807465,0.8833333333333334
3054,0.3265808615504173,0.8664047151277013,0.8944444444444445
3563,0.27585327935593534,0.8840864440078585,0.9111111111111111
4072,0.23555315995848716,0.9047151277013752,0.9055555555555556
4581,0.2633261249376889,0.8939096267190569,0.9
5090,0.24514211521050316,0.9017681728880157,0.9111111111111111
