steps,train_loss,train_acc,val_acc
254,0.45973603889960907,0.8025540275049116,0.8944444444444445
509,0.3027437290941568,0.8605108055009822,0.8944444444444445
763,0.29740618883626635,0.8811394891944989,0.8611111111111112
1018,0.2358440593734003,0.8968565815324164,0.9166666666666667
1272,0.2007414515336979,0.9155206286836934,0.8944444444444445
1527,0.19414047522137348,0.9253438113948919,0.9111111111111111
1781,0.15502873958913657,0.9371316306483299,0.9
2036,0.16951143931897544,0.9361493123772101,0.9
2290,0.16147462994387202,0.9302554027504911,0.9055555555555556
2545,0.167368843039033,0.9253438113948919,0.9
2799,0.1659745297930798,0.9273084479371315,0.9055555555555556
