steps,train_loss,train_acc,val_acc
509,5.265742033515089,0.5137524557956777,0.5
1018,0.871328511061275,0.5166994106090373,0.55
1527,0.8460710117179893,0.5324165029469548,0.5777777777777778
2036,0.8224992808283897,0.5098231827111984,0.5666666666666667
2545,0.9607022244241711,0.524557956777996,0.5666666666666667
3054,0.69286791895368,0.5383104125736738,0.5666666666666667
3563,0.6935560963242836,0.5520628683693516,0.5666666666666667
4072,0.6847603636078375,0.5599214145383103,0.5666666666666667
4581,0.6813976480122399,0.5667976424361493,0.5666666666666667
5090,0.6828730916695885,0.5677799607072691,0.5666666666666667
